Model,Accuracy (%),Mean OOF AUC,AUC Std,Brier Score,Brier Std,F1 Score,F1 Std
Proposed GBM,74.26,0.7495,0.0122,0.1989,0.0095,0.8126,0.0089
"[Otieno 2024] XGBoost (n=100 d=6 lr=0.1, MinMax)",71.63,0.7388,0.0199,0.239,0.0084,0.7927,0.0097
"[Bogey 2025] GBM (n=100 d=3 lr=0.1, StdScaler)",72.71,0.7368,0.0169,0.2063,0.0093,0.8005,0.008
"[Liu 2026] XGBoost (n=100 d=4 lr=0.05, StdScaler)",72.25,0.7312,0.0086,0.2001,0.0034,0.7986,0.003
"[Bogey 2025] RF  (n=100 d=5, StdScaler)",72.87,0.7261,0.0055,0.1945,0.0015,0.7974,0.0243
"[Li 2024]   Nomogram LR (ElasticNet, StdScaler)",71.47,0.7079,0.0152,0.2075,0.0041,0.784,0.0055
"[Otieno 2024] SVM  (RBF C=10 g=0.01, MinMax)",72.25,0.7019,0.0201,0.1985,0.0058,0.8145,0.0051
"[Otieno 2024] mLR  (L2 C=1, MinMax)",68.53,0.7,0.0146,0.2152,0.0066,0.7509,0.012
"[Otieno 2024] ANN  (100-50 relu, MinMax)",66.2,0.6289,0.0197,0.296,0.0249,0.7475,0.024
